Location,Price_Lakhs,Sqft,Bedrooms
Bangalore,55,1200,2
Mysore,32,900,2
Bangalore,78,1500,3
Mandya,28,800,1
Mysore,35,950,2
Bangalore,62,1300,3
Mandya,30,850,2
Mysore,40,1000,2
Bangalore,85,1600,3
Mandya,25,750,1
Bangalore,58,1250,2
Mysore,31,880,2
Bangalore,75,1450,3
Mandya,29,820,1
Mysore,38,970,2
Bangalore,68,1350,3
Mandya,27,800,2
Mysore,42,1050,2
Bangalore,90,1700,3
Mandya,26,780,1
Bangalore,60,1220,2
Mysore,33,910,2
Bangalore,80,1520,3
Mandya,24,790,1
Mysore,36,960,2
Bangalore,65,1280,3
Mandya,31,870,2
Mysore,45,1020,2
Bangalore,88,1650,3
Mandya,23,760,1
Bangalore,57,1210,2
Mysore,34,920,2
Bangalore,77,1480,3
Mandya,28,810,1
Mysore,39,980,2
Bangalore,66,1320,3
Mandya,32,860,2
Mysore,41,1010,2
Bangalore,92,1720,3
Mandya,27,790,1
Bangalore,59,1230,2
Mysore,30,890,2
Bangalore,79,1510,3
Mandya,25,800,1
Mysore,37,990,2
Bangalore,70,1380,3
Mandya,29,830,2
Mysore,43,1030,2
Bangalore,95,1750,3
Mandya,22,740,1
