Size,Bedrooms,Age,Price
3674,2,5,1094223
1360,1,6,465654
1794,2,13,703068
1630,1,9,501073
1595,4,22,626697
3592,4,28,1186029
2138,5,29,837595
2669,2,15,963399
966,5,14,445648
1738,2,24,642276
830,5,7,531451
1982,3,25,785336
2635,3,20,828266
3944,3,2,1297299
3671,3,7,1304432
3419,1,6,1032822
630,3,17,352159
2185,4,27,750368
3880,4,25,1333119
1269,1,25,434997
2891,3,28,956586
2015,3,2,657143
3985,3,3,1276227
3353,5,5,1287977
2933,2,5,978979
1715,5,1,728197
1455,2,8,436529
2824,3,12,1018498
1684,3,24,701918
959,5,4,621375
3885,5,13,1449303
521,2,23,219758
2800,4,15,1020384
1247,2,11,421026
3404,5,10,1288269
974,5,3,491706
1582,1,22,458829
3058,5,14,1220287
2547,1,16,724192
3247,4,10,1116639
1475,2,29,581649
2306,2,10,824689
689,1,12,301633
3505,2,9,1046928
3234,5,1,1293206
3505,3,5,1232830
1062,1,20,286375
2399,2,8,709169
1767,1,11,486954
3379,1,12,1077028
2028,3,1,732656
3702,5,25,1375609
1146,1,22,348934
2568,2,20,863123
3388,4,28,1241760
2714,1,25,798930
1797,1,11,623223
2935,3,5,947886
1100,5,15,597256
2863,4,5,982687
2561,2,12,765921
741,4,5,390284
2541,2,17,919164
3324,5,17,1289525
3917,2,24,1161151
3112,3,12,1009411
3445,3,24,1065947
1863,3,28,680946
2639,3,15,973026
1890,4,15,721045
3503,5,6,1305759
1978,2,12,757890
3999,2,27,1291244
3056,3,29,912271
1275,3,20,512812
534,1,18,213601
2753,5,14,1113837
3652,4,2,1238450
2455,2,9,772720
2085,1,5,659308
3959,1,20,1235169
3573,2,26,1186497
1521,4,29,551372
3961,1,1,1220120
3113,1,23,861184
1629,5,3,825102
2000,4,6,771369
1202,1,5,325722
2949,4,21,1073049
3277,2,27,999653
2079,3,5,758488
661,1,1,209112
701,5,17,334299
2481,2,19,728736
1495,4,14,563463
2817,2,12,954268
1315,1,10,480851
3842,4,20,1321499
955,3,21,320701
1775,2,18,647287
1516,1,24,517181
2843,5,27,1095050
3267,4,11,1245786
837,2,2,252205
1378,2,25,481066
1576,3,18,581648
1291,3,29,382139
2764,5,25,998120
